X,Y,fid,icon_url
19.0169878733263,49.8151808264578,"713",./0.png
19.0143246857822,49.8139586847496,"714",./0.png
19.018214067434,49.8160028773755,"715",./0.png
19.0132207020457,49.8145770781317,"717",./0.png
19.0124085523165,49.8153581157757,"719",./0.png
19.0116948054888,49.8161292070021,"720",./0.png
19.0100799893622,49.8171482370005,"721",./0.png
19.0092542704473,49.8180082810717,"722",./0.png
19.0106240664544,49.8192543049519,"723",./0.png
19.0111132168134,49.8186466079185,"724",./0.png
19.0116279256505,49.8180289296768,"725",./0.png
19.0127376206288,49.8184497588855,"726",./0.png
19.0153842774472,49.8212127759902,"728",./0.png
19.0141395225529,49.8218464012437,"729",./0.png
19.0141601597746,49.8201650316907,"730",./0.png
19.0058856072512,49.8201308354131,"731",./0.png
19.0079704738189,49.8211085029559,"732",./0.png
19.0073325841196,49.8219901601924,"733",./0.png
19.0065479450466,49.8229688224643,"734",./0.png
19.0058575839922,49.8221153036967,"735",./0.png
19.0047828105105,49.8218725994171,"736",./0.png
19.0047915759558,49.820931645451,"737",./0.png
19.0043665712054,49.8223769795725,"738",./0.png
19.0079193568025,49.8233091879987,"739",./0.png
19.0085479079224,49.8224493328528,"741",./0.png
19.0026870022551,49.8219078794157,"742",./0.png
19.0003320941793,49.8212565164795,"743",./0.png
19.0000782198149,49.822063334621,"744",./0.png
19.0000629127929,49.8210612479171,"745",./0.png
19.0009105278968,49.8201319353736,"746",./0.png
19.0017359356521,49.8192358347175,"747",./0.png
19.0030183856341,49.8187908592768,"748",./0.png
19.002239476259,49.8173791812895,"749",./0.png
19.0020474774829,49.8186245770101,"750",./0.png
18.9990424869216,49.820479593586,"751",./0.png
19.0000778906905,49.8187661331328,"752",./0.png
19.0004121454314,49.8179931846195,"753",./0.png
19.0007490090735,49.8168473013089,"754",./0.png
18.9989736999724,49.8179522449779,"755",./0.png
18.99839466,49.81921518,"756",./0.png
18.9980903716683,49.8198780638935,"757",./0.png
18.9962384961541,49.8193979637077,"758",./0.png
18.9952770725465,49.8192619350244,"759",./0.png
18.9928820880313,49.818877916189,"760",./0.png
18.9936032564754,49.8173622073386,"761",./0.png
18.9931326457989,49.8134474146845,"762",./0.png
18.9941943772216,49.8142897768632,"763",./0.png
18.9937674220595,49.81612143448,"764",./0.png
18.999733812036,49.8195194286106,"765",./0.png
18.9982107748447,49.8222115031556,"766",./0.png
18.9984856930862,49.8242513907282,"767",./0.png
18.9992322147782,49.8244968490057,"768",./0.png
18.9994186775112,49.8235657923409,"769",./0.png
18.9998174471025,49.8227212918393,"770",./0.png
19.0020071647927,49.8231733548709,"771",./0.png
19.003615435786,49.8235063552216,"772",./0.png
19.0050274088086,49.8238854814172,"773",./0.png
19.0064290488281,49.8242150012837,"774",./0.png
19.0078442182059,49.8244716351081,"775",./0.png
19.009757789393,49.8247678347024,"776",./0.png
19.0053036142692,49.8247143642243,"777",./0.png
19.0049638614394,49.8255477166927,"778",./0.png
19.0026108157429,49.8250967267641,"779",./0.png
19.0029297744895,49.8245572644672,"780",./0.png
19.000723221505,49.8246319331966,"781",./0.png
19.003574894574,49.8251576454797,"782",./0.png
19.006607340403,49.8258592489514,"783",./0.png
19.0077138767768,49.8259334893722,"784",./0.png
19.0095515370375,49.8264583267691,"785",./0.png
19.001561282594,49.8248443240301,"786",./0.png
19.0034437646954,49.8179833315559,"787",./0.png
19.0144017510978,49.8177793888553,"788",./0.png
19.0153959053774,49.8188227798085,"789",./0.png
19.0146746344944,49.8201239954413,"790",./0.png
19.0148485056714,49.8150187757831,"791",./0.png
19.0178787436383,49.8184256625638,"792",./0.png
19.0178586033809,49.8163693712759,"793",./0.png
18.9971167615297,49.8195764841382,"794",./0.png
